# Every authored `@qmx-threshold` site in src/ — the population the threshold
# audit must classify as live or dead.
#
# Do not hand-edit. Regenerate with:
#   php scripts/enumerate-inline-directives.php src
#
# ROW COUNT: whatever the last line of a fresh run reports — deliberately not
# repeated in prose anywhere, here or in the plan. It moved three times inside
# one step (37 before Ш6, 39 after П2, 41 after П4), and each time a number
# written by hand somewhere else went stale first. `composer
# enumeration:directives:check` fails when this file and the tree disagree. The same script over
# tests/ finds 2. Four of the 37 sit in a namespace excluded from the very
# channel they retune (`SymbolLevel.php:19,20`, `RelativePath.php:32,35`) — that
# is the population of the Sh5e2b lesson, and it is four, not the five AUDIT.md
# claims: the fifth, on `ThresholdOverride`, does not exist. All five occurrences
# of the tag in that file are backticked examples.
#
# HOW THIS WAS PRODUCED
# Token-level, not line-level: only T_DOC_COMMENT tokens are read, backtick-
# delimited regions are stripped first (the product strips them too — AGENTS.md
# §8), and what remains is matched with ThresholdOverrideExtractor's own pattern.
# Two cruder probes were run first and both were wrong in both directions. A
# plain grep counts 127 occurrences of the tag in `src/**/*.php` and 136 in
# `src/**` — the second number is the one AUDIT.md quotes as "136 directives",
# and most of it is docblock prose, format documentation, README text and
# error-message literals; over `tests/` the same grep counts 102. A second grep
# filtered on "the next token looks like a channel" counts 49 in src and 73 in
# tests, admitting the backticked examples in DataClassOptions and GodClassOptions
# that the product does not treat as directives. Neither number is a count of
# directives, and quoting them side by side without saying which probe produced
# which is how the first revision of this header got them mixed.
#
# WHAT THIS METHOD DOES NOT SEE
# - Which declaration each site binds to, and therefore how many overrides one
#   site materialises. A class docblock binds to the class and to every method in
#   it; the count here is authored sites, which is the unit a reader edits.
# - Whether the channel and level a site names address anything. That is
#   DirectiveAddressability's answer, published today as annotation.* findings.
# - Whether the site changes any decision. That is precisely what the product
#   cannot answer today and what this step adds.
# - The `values` column carries the reason text with backticked spans removed,
#   because the strip runs before the match; it is a locator, not a quotation.
file	line	channel	values
src/Analysis/Evidence/Measurement/Contract/CallableWithMetrics.php	26	code-smell.constructor-overinjection	warning=9 error=9 -- Exact callable measurement record carries eight independent facts about one declaration; bundling them would recreate the prohibited array record.
src/Analysis/Evidence/Measurement/Contract/VisitorCallableScope.php	14	code-smell.constructor-overinjection	warning=14 error=14 -- Exact immutable callable scope exposes thirteen independent identity fields, in-run join position beside durable ordinal; bundling them would recreate the prohibited array record. One field of headroom, as before.
src/Analysis/Finding/Contract/Finding.php	14	code-smell.constructor-overinjection	warning=17 error=17 — Finding is a flat immutable transport VO; its 15 constructor parameters mirror independent public fields that a parameter bundle would obscure.
src/Analysis/Run/Contract/Pipeline/AnalysisResult.php	46	code-smell.constructor-overinjection	warning=9 error=9 -- Transport VO for one pipeline
src/Infrastructure/Console/ResultPresenter.php	32	code-smell.constructor-overinjection	warning=9 error=9 -- Raw 8 gets one-edge
src/Analysis/Evidence/Measurement/Contract/CallableWithMetrics.php	27	code-smell.long-parameter-list	warning=9 error=9 -- Exact callable measurement record carries eight independent facts about one declaration; bundling them would recreate the prohibited array record.
src/Analysis/Evidence/Measurement/Contract/VisitorCallableScope.php	15	code-smell.long-parameter-list	warning=14 error=14 -- Exact immutable callable scope constructor mirrors thirteen readonly identity fields, in-run join position beside durable ordinal; bundling them would recreate the prohibited array record. One field of headroom, as before.
src/Analysis/Evidence/Measurement/Visitor/VisitorLexicalScope.php	112	code-smell.long-parameter-list	warning=9 error=9 -- Sole mutable traversal scope atomically validates and constructs callable identity from eight context inputs.
src/Analysis/Run/Contract/Pipeline/AnalysisResult.php	55	code-smell.long-parameter-list	warning=9 error=9 -- Same VO, same unsplit shape; see the
src/Analysis/Evidence/Complexity/NpathExpressionCalculator.php	52	complexity.cyclomatic	warning=15 error=15 -- Finite php-parser expression dispatch preserves the closed NPath contribution algebra (grew by one arm for the  assignment-coalesce operator).
